"source","date","assertionType","evidenceType","exactText","modality","statementType","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","objectRegimens","objectFormulation","objectDuration","preciptRegimens","preciptFormulation","preciptDuration","numOfParticipants","auc","aucType","aucDirection","cl","clType","clDirection","cmax","cmaxType","cmaxDirection","t12","t12Type","t12Direction"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html","2015-08-20 11:48:50 -0400","drug-drug-interaction","evidence-supports","Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].","ncit:positive","ncit:Qualitative","furosemide","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","nodeID://b39904","Teriflunomide","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","nodeID://b39706","nodeID://b39004","nodeID://b39010","nodeID://b39019","nodeID://b39009","nodeID://b39003","nodeID://b39006","nodeID://b39016","nodeID://b39002","nodeID://b39014","nodeID://b39012","nodeID://b39015","nodeID://b39017","nodeID://b39020","nodeID://b39005","nodeID://b39007","nodeID://b39011","nodeID://b39008","nodeID://b39018","nodeID://b39013"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ea35caf8-c8c8-481a-97a2-25f68cbc240b.html","2015-10-29 11:09:04 -0400","drug-drug-interaction","evidence-supports","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the coadministration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","ncit:positive","ncit:Qualitative","TCA","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-group","dikbD2R:object-drug-of-interaction",,"quinidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","nodeID://b38594",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/75bf3473-2d70-4d41-93cd-afa1015e45bb.html","2015-10-01 10:49:57 -0400","drug-drug-interaction","evidence-supports","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the co-administration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","ncit:positive","ncit:Qualitative","TCA","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-group","dikbD2R:object-drug-of-interaction","nodeID://b40446","fluoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","nodeID://b39866","nodeID://b36977","nodeID://b36987","nodeID://b36981","nodeID://b36973","nodeID://b36978","nodeID://b36974","nodeID://b36971","nodeID://b36972","nodeID://b36983","nodeID://b36982","nodeID://b36970","nodeID://b36980","nodeID://b36975","nodeID://b36984","nodeID://b36976","nodeID://b36986","nodeID://b36985","nodeID://b36979","nodeID://b36969"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-09-03 15:42:22 -0400","drug-drug-interaction","evidence-supports","No dose adjustment of alprazolam, ibuprofen, levothyroxine, olanzapine, risperdione, warfarin, or strong CYP3A4 inhibitors (e.g., ketoconazole) is necessary when these drugs are used in combination with EMSAM. EMSAM had no clinically relevant effect on pharmacokinetics of these drugs.","ncit:negative","ncit:Qualitative","olanzapine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","nodeID://b40046","EMSAM","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","nodeID://b40182","nodeID://b37773","nodeID://b37774","nodeID://b37776","nodeID://b37767","nodeID://b37768","nodeID://b37779","nodeID://b37765","nodeID://b37769","nodeID://b37762","nodeID://b37771","nodeID://b37778","nodeID://b37780","nodeID://b37764","nodeID://b37772","nodeID://b37766","nodeID://b37763","nodeID://b37770","nodeID://b37775","nodeID://b37777"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-10-27 14:17:34 -0400","DDI-clinical-trial","evidence-supports","Risperidone    In subjects who had received EMSAM 6 mg per 24 hours for 10 days, co-administration with risperidone (2 mg per day for 7 days), a substrate for CYP2D6, did not affect the pharmacokinetics of selegiline or risperidone [see Drug Interactions (7.4) and (7.5)].    Warfarin","ncit:negative","ncit:quantitative","EMSAM","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","6","risperidone","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","2","Daily","Oral","7","Daily","transdermal","10","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4e338e89-3cf2-48eb-b6e2-a06c608c6513.html","2015-08-20 11:17:13 -0400","DDI-clinical-trial","evidence-supports","In an in vivo drug-drug interaction trial, the Cmax and AUC of dextromethorphan (CYP2D6 substrate) were increased 2.8- and 2.9-fold, respectively when dextromethorphan 30 mg was given with abiraterone acetate 1,000 mg daily (plus prednisone 5 mg twice daily). The AUC for dextrorphan, the active metabolite of dextromethorphan, increased approximately 1.3 fold [see Drug Interactions (7.2)].","ncit:positive","ncit:quantitative","dextromethorphan","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","1000","abiraterone acetate","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","30","UNK","UNK","Unk","Daily","UNK","Unk","Unk","2.9","Fold","Increase","Unk","UNK","UNK","2.8","Fold","Increase","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5f356c1b-96bd-4ef1-960c-91cf4905e6b1.html","2015-11-02 16:13:06 -0500","DDI-clinical-trial","evidence-supports","Olanzapine — Fluoxetine (60 mg single dose or 60 mg daily dose for 8 days) causes a small (mean 16%) increase in the maximum concentration of olanzapine and a small (mean 16%) decrease in olanzapine clearance. The magnitude of the impact of this factor is small in comparison to the overall variability between individuals, and therefore dose modification is not routinely recommended. ","ncit:positive","ncit:quantitative","olanzapine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Unk","Fluoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","60","UNK","UNK","Unk","Daily","Oral","8","Unk","Unk","UNK","UNK","16","Percent","Decrease","16","Percent","Increase","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html","2015-09-14 11:21:10 -0400","drug-drug-interaction","evidence-supports","An in vivo interaction study involving the coadministration under steady-state conditions of paroxetine and terfenadine, a substrate for cytochrome CYP3A4, revealed no effect of paroxetine on terfenadine pharmacokinetics.","ncit:negative","ncit:Qualitative","paroxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","nodeID://b40340","terfenadine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","nodeID://b39894","nodeID://b37195","nodeID://b37199","nodeID://b37204","nodeID://b37205","nodeID://b37196","nodeID://b37192","nodeID://b37190","nodeID://b37191","nodeID://b37202","nodeID://b37206","nodeID://b37189","nodeID://b37198","nodeID://b37193","nodeID://b37203","nodeID://b37194","nodeID://b37200","nodeID://b37201","nodeID://b37197","nodeID://b37188"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/cc9e1c8c-0e2b-44e2-878b-27057f786be9.html","2015-08-20 13:57:35 -0400","drug-drug-interaction","evidence-supports","Experience with GILENYA in patients receiving concurrent therapy with drugs that slow the heart rate or atrioventricular conduction (e.g., beta blockers, digoxin, or heart rate-slowing calcium channel blockers such as diltiazem or verapamil) is limited. Because initiation of GILENYA treatment may result in an additional decrease in heart rate, concomitant use of these drugs during GILENYA initiation may be associated with severe bradycardia or heart block. Seek advice from the prescribing physician regarding the possibility to switch to drugs that do not slow the heart rate or atrioventricular conduction before initiating GILENYA. Patients who cannot switch, should have overnight continuous ECG monitoring after the first dose [see Dosage and Administration (2) and Warnings and Precautions (5.1)]","ncit:positive","ncit:Qualitative","beta blockers","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-group","dikbD2R:object-drug-of-interaction","nodeID://b40292","GILENYA","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","nodeID://b40426","nodeID://b37836","nodeID://b37835","nodeID://b37831","nodeID://b37842","nodeID://b37829","nodeID://b37834","nodeID://b37845","nodeID://b37840","nodeID://b37830","nodeID://b37838","nodeID://b37832","nodeID://b37843","nodeID://b37847","nodeID://b37841","nodeID://b37846","nodeID://b37837","nodeID://b37839","nodeID://b37844","nodeID://b37833"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html","2015-10-28 16:46:43 -0400","DDI-clinical-trial","evidence-supports","Digoxin–In a placebo-controlled trial in normal volunteers, administration of sertraline for 17 days (including 200 mg/day for the last 10 days) did not change serum digoxin levels or digoxin renal clearance.","ncit:negative","ncit:quantitative","digoxin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Unk","sertraline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","200","UNK","UNK","Unk","Daily","Oral","17","10","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
